Population,State,County,electricity (kWh),Nat. Gas (cu.ft.),FUELOIL (gallons),Vehicle miles traveled,Transport (tCO2e/yr),Housing (tCO2e/yr),Food (tCO2e/yr),Goods (tCO2e/yr),Services (tCO2e/yr),Total Household Carbon Footprint (tCO2e/yr),Households,Total County Carbon Footprint (tCO2e/yr)
4498,AK,NORTHWEST ARCTIC ,5657.989824,25663.92792,599.2330083,10589.63495,8.205640368,12.81413585,11.14497999,6.135224082,6.55063127,44.85061156,1309.0,58709.45053
679,AK,YAKUTAT ,5990.073631,24294.23755,596.462411,15843.0,11.60497039,13.72173591,7.83,5.530009959,6.218926546,44.90564281,402.0,18052.06841
2693,AK,ALEUTIANS EAST ,6715.006666,20659.2776,703.7313597,13075.23134,9.847510678,15.58193768,7.824663944,5.527813345,6.169048678,44.95097433,705.0,31690.4369
969,AK,SKAGWAY HOONAH ANGOON ,6092.400099,24265.97212,488.3965314,20776.81218,14.7806315,12.42654324,6.327430341,5.379701599,6.224019633,45.13832631,649.0,29294.77378
1258,AK,BRISTOL BAY ,6142.702937,24418.53046,622.9330519,16961.23847,12.41856846,14.10987242,7.780755167,5.731610305,6.489606595,46.53041295,979.0,45553.27428
14066,AK,KETCHIKAN GATEWAY ,5659.247113,22594.15779,515.5596459,20059.23404,14.38391691,12.60856803,7.678771506,5.790690693,6.588558204,47.05050534,6187.0,291101.4765
5883,AK,WRANGELL PETERSBURG ,6100.366915,22474.62954,551.0857608,21111.08261,14.85754914,13.20675865,7.575833758,5.492185532,6.200037774,47.33236486,2886.0,136601.205
8787,AK,SITKA ,5710.806375,21171.04413,507.9085731,20531.0,14.69262943,12.55779675,7.86,5.859425251,6.659361783,47.62921322,3571.0,170083.9204
10093,AK,VALDEZ CORDOVA ,6485.445844,24802.30747,509.4109684,22658.0641,15.97819271,12.82373437,7.740228871,5.806002165,6.597375285,48.9455334,5043.0,246832.3249
1900,AK,DENALI ,5854.311254,26714.03677,392.2220036,22962.28,16.47313412,13.35526917,6.803163158,6.04093265,7.053938466,49.72643757,1473.0,73247.04254
